question_id,difficulty_b,discrimination_a
Q1,-0.04910548043879537,1.072231903896003
Q2,-0.14712025200165835,1.6189520886894482
Q3,1.2087270845321822,1.433457751688192
Q4,0.4908429178944296,0.971351435049787
Q5,0.5575716307499206,0.5509474793076894
Q6,1.402783915771714,1.6155417109414207
Q7,0.3456095417771614,0.7790923518583399
Q8,-1.3953734099344408,1.4991824306884134
Q9,1.3209621609320026,0.5950392217558202
Q10,-1.4764541909112805,0.8893873727558721
Q11,-0.19528319305012598,1.4939266118541423
Q12,1.6013906852719808,1.175031483354219
Q13,-1.7391860478407124,1.271236147868512
Q14,0.11157110398616421,0.6383458295914859
Q15,-1.126661502295073,0.7101265844141869
Q16,0.19424748070096287,0.8783369548080175
Q17,-0.21456343944093703,1.3877560380671439
Q18,-0.057913006080733354,1.0344427369375062
Q19,1.532786037830057,0.721474923143951
Q20,-1.5387468570316347,1.2232456638998899
Q21,-0.5234868454630384,1.061006891218546
Q22,1.4349988537289105,0.6903107251315246
Q23,-0.6487921160668297,1.7407804701783365
Q24,0.18469865652512185,0.5363014942847286
Q25,-1.694732009601398,0.546154282267361
Q26,-1.369853180781735,1.448201890125235
Q27,1.2601589058932263,1.9771291850947734
Q28,0.6912180312299263,1.1922463296889232
Q29,1.4525238653301442,1.2679364250239455
Q30,-1.9001321763702759,1.8048443685967133
